iter	MAE
0	15790.14158
1	15637.77826
2	15511.23478
3	15373.32163
4	15246.55302
5	15096.22252
6	14964.51038
7	14823.44716
8	14690.53427
9	14549.79332
10	14430.17064
11	14295.60038
12	14161.32861
13	14044.5993
14	13907.05044
15	13798.08305
16	13665.65902
17	13550.88474
18	13457.83135
19	13333.63895
20	13214.06488
21	13095.24457
22	12969.20452
23	12884.52663
24	12794.96497
25	12674.92421
26	12556.4545
27	12447.10268
28	12340.69048
29	12210.21073
30	12084.47851
31	11978.30018
32	11881.72315
33	11763.34517
34	11655.79345
35	11545.71217
36	11440.14758
37	11343.25927
38	11241.40389
39	11171.53602
40	11068.07107
41	10956.52385
42	10854.98329
43	10752.42556
44	10648.25605
45	10556.74158
46	10457.89359
47	10370.74899
48	10278.31225
49	10189.89578
50	10090.90982
51	9995.732297
52	9912.631652
53	9836.496107
54	9750.610138
55	9660.211999
56	9562.040638
57	9468.186357
58	9373.365883
59	9287.427378
60	9205.521634
61	9123.388965
62	9046.043378
63	8985.479243
64	8903.730552
65	8806.849453
66	8717.462297
67	8637.386042
68	8562.007437
69	8489.340687
70	8418.998392
71	8382.333638
72	8311.585522
73	8249.0855
74	8172.491625
75	8106.081411
76	8034.911327
77	7970.826627
78	7892.296371
79	7821.705442
80	7758.186189
81	7686.888958
82	7637.838729
83	7565.016405
84	7504.554272
85	7443.984066
86	7381.461538
87	7321.876458
88	7252.204931
89	7182.793317
90	7130.005448
91	7061.497945
92	7026.916604
93	6964.452372
94	6895.054204
95	6837.331661
96	6784.491094
97	6721.823148
98	6660.902489
99	6611.385569
100	6552.236011
101	6507.848343
102	6462.019795
103	6413.408621
104	6346.017026
105	6297.413851
106	6236.688072
107	6184.856031
108	6131.023158
109	6088.503674
110	6037.809248
111	5977.354465
112	5916.998135
113	5864.629166
114	5815.286704
115	5761.627437
116	5722.175093
117	5675.107284
118	5638.009453
119	5584.772728
120	5540.430931
121	5483.482193
122	5441.865298
123	5393.884437
124	5347.377832
125	5307.126112
