iter	Passed	Remaining
0	0	359
1	1	384
2	1	308
3	2	284
4	2	274
5	3	275
6	3	276
7	4	277
8	5	278
9	5	280
10	6	274
11	6	272
12	7	275
13	7	266
14	8	261
15	8	262
16	9	264
17	9	265
18	10	259
19	10	260
20	11	260
21	12	261
22	12	263
23	12	255
24	12	246
25	13	241
26	13	239
27	14	240
28	14	240
29	15	239
30	15	239
31	16	240
32	17	240
33	17	241
34	18	242
35	18	243
36	19	243
37	20	244
38	20	245
39	21	242
40	21	238
41	21	234
42	21	232
43	22	230
44	22	230
45	23	230
46	23	228
47	24	228
48	24	228
49	25	228
50	25	228
51	26	229
52	27	228
53	27	227
54	28	228
55	28	228
56	29	228
57	29	226
58	29	224
59	30	222
60	30	220
61	31	219
62	31	218
63	31	216
64	32	217
65	32	216
66	33	216
67	34	216
68	34	216
69	35	216
70	35	216
71	36	214
72	36	214
73	37	213
74	37	213
75	37	210
76	37	208
77	38	206
78	38	204
79	38	202
80	38	201
81	39	200
82	39	198
83	40	198
84	40	197
85	40	196
86	41	196
87	41	195
88	42	194
89	42	194
90	43	193
91	43	193
92	43	192
93	44	191
94	44	190
95	45	189
96	45	188
97	45	188
98	46	188
99	46	187
100	47	187
101	47	186
102	47	184
103	48	183
104	48	182
105	48	181
106	49	181
107	49	181
108	50	181
109	51	181
110	51	181
111	52	181
112	52	181
113	53	180
114	53	180
115	54	180
116	54	179
117	55	178
118	55	178
119	56	178
120	56	176
121	56	175
122	57	175
123	57	175
124	58	174
125	58	174
126	59	174
127	60	174
128	60	174
129	61	173
130	61	173
131	61	172
132	62	172
133	63	172
134	63	171
135	63	171
136	64	170
137	65	170
138	65	170
139	66	170
140	66	169
141	67	169
142	67	168
143	68	168
144	68	168
145	69	167
146	69	167
147	70	166
148	70	165
149	70	164
150	70	163
151	71	162
152	71	161
153	71	160
154	71	159
155	72	159
156	72	158
157	72	157
158	73	156
159	73	156
160	74	156
161	74	155
162	75	155
163	75	154
164	75	154
165	76	153
166	77	153
167	77	153
168	78	153
169	78	152
170	79	152
171	79	152
172	79	151
173	80	150
174	80	149
175	80	148
176	81	148
177	81	147
178	82	147
179	82	147
180	83	146
181	83	146
182	84	146
183	84	145
184	85	144
185	85	144
186	86	144
187	86	143
188	87	143
189	87	143
190	88	142
191	88	141
192	88	141
193	89	141
194	89	140
195	90	140
196	90	139
197	90	138
198	91	137
199	91	137
200	91	136
201	92	135
202	92	135
203	92	134
204	93	134
205	93	134
206	94	133
207	94	133
208	95	132
209	95	132
210	96	131
211	96	131
212	96	130
213	97	129
214	97	129
215	97	128
216	98	128
217	98	127
218	99	127
219	99	126
220	99	125
221	99	124
222	100	124
223	100	123
224	100	122
225	100	122
226	101	121
227	101	121
228	102	120
229	102	120
230	102	119
231	103	119
232	103	118
233	104	118
234	104	117
235	104	117
236	105	116
237	105	116
238	105	115
239	105	114
240	106	114
241	106	113
242	106	112
243	106	111
244	107	111
245	107	110
246	107	110
247	108	109
248	108	109
249	109	109
250	109	108
251	109	107
252	109	106
253	109	106
254	110	105
255	110	105
256	110	104
257	110	103
258	111	103
259	111	102
260	111	102
261	112	101
262	112	101
263	112	100
264	113	100
265	113	99
266	113	99
267	114	98
268	114	98
269	114	97
270	115	97
271	115	97
272	116	96
273	117	96
274	117	96
275	117	95
276	118	95
277	118	94
278	119	94
279	119	93
280	119	93
281	120	93
282	121	92
283	121	92
284	121	91
285	121	91
286	122	90
287	122	90
288	122	89
289	122	88
290	122	88
291	123	87
292	123	87
293	124	86
294	124	86
295	124	86
296	125	85
297	125	85
298	125	84
299	126	84
300	126	83
301	127	83
302	127	82
303	128	82
304	128	82
305	129	81
306	129	81
307	129	80
308	129	80
309	130	79
310	130	79
311	131	78
312	131	78
313	132	78
314	132	77
315	133	77
316	133	77
317	134	76
318	134	76
319	135	76
320	135	75
321	136	75
322	136	74
323	136	74
324	137	73
325	137	73
326	138	73
327	138	72
328	139	72
329	139	71
330	140	71
331	140	71
332	141	70
333	141	70
334	142	70
335	142	69
336	143	69
337	143	68
338	143	68
339	144	67
340	144	67
341	145	67
342	146	66
343	146	66
344	147	66
345	147	65
346	148	65
347	148	65
348	149	64
349	150	64
350	150	63
351	151	63
352	151	63
353	152	62
354	152	62
355	153	62
356	154	61
357	155	61
358	156	61
359	157	61
360	157	60
361	158	60
362	158	59
363	158	59
364	158	58
365	159	58
366	159	57
367	159	57
368	160	56
369	160	56
370	160	55
371	161	55
372	161	55
373	162	54
374	162	54
375	162	53
376	163	53
377	163	52
378	163	52
379	163	51
380	164	51
381	164	50
382	165	50
383	165	50
384	166	49
385	166	49
386	166	48
387	167	48
388	167	47
389	167	47
390	168	46
391	168	46
392	168	45
393	168	45
394	169	44
395	169	44
396	169	44
397	170	43
398	170	43
399	171	42
400	171	42
401	172	42
402	172	41
403	173	41
404	173	40
405	174	40
406	174	39
407	175	39
408	175	39
409	176	38
410	176	38
411	176	37
412	177	37
413	177	36
414	177	36
415	177	35
416	177	35
417	178	34
418	178	34
419	178	34
420	179	33
421	179	33
422	180	32
423	180	32
424	181	31
425	181	31
426	181	31
427	182	30
428	182	30
429	182	29
430	183	29
431	183	28
432	184	28
433	184	28
434	184	27
435	185	27
436	185	26
437	186	26
438	186	25
439	186	25
440	187	25
441	187	24
442	187	24
443	187	23
444	188	23
445	188	22
446	188	22
447	188	21
448	189	21
449	189	21
450	189	20
451	189	20
452	190	19
453	190	19
454	190	18
455	190	18
456	191	17
457	191	17
458	191	17
459	191	16
460	191	16
461	192	15
462	192	15
463	192	14
464	192	14
465	193	14
466	193	13
467	193	13
468	193	12
469	194	12
470	194	11
471	194	11
472	194	11
473	194	10
474	195	10
475	195	9
476	195	9
477	195	9
478	195	8
479	196	8
480	196	7
481	196	7
482	196	6
483	197	6
484	197	6
485	197	5
486	197	5
487	198	4
488	198	4
489	198	4
490	198	3
491	199	3
492	199	2
493	199	2
494	199	2
495	200	1
496	200	1
497	200	0
498	200	0
499	201	0
